,locality,Economic  Factor,Sentiment Score,Sentiment,location,Quarter Period,Year,min_price,max_price,Average Price,Risk
22,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2029.0,13041.49172,22359.28828,17700.39,Moderate
23,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2029.0,13379.06734,22938.05266,18158.56,Moderate
24,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2030.0,13897.80519,23827.41481,18862.61,Moderate
25,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2030.0,14018.41791,24034.20209,19026.31,Moderate
26,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2030.0,14405.2554,24697.4246,19551.34,Moderate
27,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2030.0,14599.0757,25029.7243,19814.4,Moderate
28,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2024.0,13321.87554,24226.6616,18774.29,Moderate
29,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2024.0,13386.69574,24344.54118,18865.64,Moderate
30,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2024.0,13520.87629,24588.55687,19054.73833,Moderate
31,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2024.0,13392.40432,24354.92259,18873.685,Moderate
32,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2025.0,14289.6444,25986.60963,20138.15,Moderate
33,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2025.0,14828.97901,26967.42327,20898.225,Moderate
34,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2025.0,13463.57161,24484.34474,18973.97983,Moderate
35,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2025.0,12310.86767,22388.08072,17349.494,Moderate
36,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2026.0,11242.95283,20446.01099,15844.5,Moderate
37,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2026.0,11298.27175,20546.61189,15922.46,Moderate
38,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2026.0,11302.71728,20554.69636,15928.725,Moderate
39,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2026.0,11398.51068,20728.90264,16063.725,Moderate
40,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2027.0,11483.14593,20882.81712,16183.0,Moderate
41,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2027.0,11533.17138,20973.79151,16253.5,Moderate
42,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2027.0,11564.03814,21029.92465,16297.0,Moderate
43,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2027.0,11760.59202,21387.37014,16574.0,Moderate
44,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2028.0,12014.62194,21849.3394,16932.0,Moderate
45,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2028.0,12047.26266,21908.69858,16978.0,Moderate
46,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2028.0,12071.54806,21952.8631,17012.225,Moderate
47,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2028.0,12303.77612,22375.18429,17339.5,Moderate
48,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2029.0,12464.85096,22668.10894,17566.5,Moderate
49,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2029.0,12535.80903,22797.15063,17666.5,Moderate
50,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2029.0,12598.60693,22911.35253,17755.0,Moderate
51,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2029.0,12855.12039,23377.83825,18116.5,Moderate
52,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jan-Mar,2030.0,13321.87554,24226.6616,18774.29,Moderate
53,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Apr-Jun,2030.0,13386.69574,24344.54118,18865.64,Moderate
54,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Jul-Sep,2030.0,13520.87629,24588.55687,19054.73833,Moderate
55,Aarey Road,Average economic factors; decent demand but may face fluctuations due to infrastructure changes.,-0.0644,Negative,Aarey Road,Oct-Dec,2030.0,13392.40432,24354.92259,18873.685,Moderate
56,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2024.0,21206.84568,38200.15432,29703.5,Moderate
57,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2024.0,21292.87678,38355.12322,29824.0,Moderate
58,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2024.0,21236.11767,38252.88233,29744.5,Moderate
59,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2024.0,21334.99989,38431.00011,29883.0,Moderate
60,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2025.0,22181.74587,39956.25413,31069.0,Moderate
61,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2025.0,22154.61572,39907.38428,31031.0,Moderate
62,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2025.0,19969.92544,35972.07456,27971.0,Moderate
63,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2025.0,19662.21253,35417.78747,27540.0,Moderate
64,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2026.0,19428.03658,34995.96342,27212.0,Moderate
65,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2026.0,19367.70771,34887.29229,27127.5,Moderate
66,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2026.0,19373.7763,34898.2237,27136.0,Moderate
67,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2026.0,19155.79276,34505.56724,26830.68,Moderate
68,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2027.0,19523.70602,35168.29398,27346.0,Moderate
69,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2027.0,19518.35139,35158.64861,27338.5,Moderate
70,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2027.0,19647.21956,35390.78044,27519.0,Moderate
71,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2027.0,19340.05639,34837.48361,27088.77,Moderate
72,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2028.0,20382.58916,36715.41084,28549.0,Moderate
73,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2028.0,20476.11675,36883.88325,28680.0,Moderate
74,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2028.0,20136.27604,36271.72396,28204.0,Moderate
75,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2028.0,20181.96891,36354.03109,28268.0,Moderate
76,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2029.0,20510.02943,36944.97057,28727.5,Moderate
77,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2029.0,20566.07459,37045.92541,28806.0,Moderate
78,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2029.0,20707.07993,37299.92007,29003.5,Moderate
79,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2029.0,20627.53864,37156.64136,28892.09,Moderate
80,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jan-Mar,2030.0,21206.84568,38200.15432,29703.5,Moderate
81,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Apr-Jun,2030.0,21292.87678,38355.12322,29824.0,Moderate
82,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Jul-Sep,2030.0,21236.11767,38252.88233,29744.5,Moderate
83,Adi Shankaracharya Marg,Stable demand due to proximity to educational institutions; moderate property prices.,0.1779,Positive,Adi Shankaracharya Marg,Oct-Dec,2030.0,21334.99989,38431.00011,29883.0,Moderate
84,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2024.0,14454.22549,25466.57965,19960.38,High
85,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2024.0,14397.17005,25366.05492,19881.59,High
86,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2024.0,14186.62465,24995.09965,19590.84,High
87,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2024.0,14221.38365,25056.34076,19638.84,High
88,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2025.0,14356.19063,25293.8542,19825.0,High
89,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2025.0,14029.96295,24719.08087,19374.5,High
90,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2025.0,12839.26448,22621.21562,17730.22,High
91,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2025.0,12499.19113,22022.04791,17260.6,High
92,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2026.0,12535.326,22085.71315,17310.5,High
93,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2026.0,12498.39456,22020.64447,17259.5,High
94,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2026.0,12520.48101,22059.55809,17290.0,High
95,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2026.0,12477.32192,21983.51705,17230.4,High
96,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2027.0,12680.51724,22341.52237,17511.0,High
97,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2027.0,12692.46564,22362.574,17527.5,High
98,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2027.0,12748.94901,22462.0908,17605.5,High
99,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2027.0,12810.69693,22570.88308,17690.77,High
100,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2028.0,13633.43519,24020.44739,18826.92,High
101,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2028.0,13405.02512,23618.01675,18511.5,High
102,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2028.0,13314.50689,23458.53469,18386.5,High
103,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2028.0,13347.09345,23515.94823,18431.5,High
104,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2029.0,14068.71923,24787.36471,19428.02,High
105,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2029.0,14007.97788,24680.34587,19344.14,High
106,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2029.0,13972.39336,24617.65028,19295.0,High
107,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2029.0,14051.46284,24756.96105,19404.19,High
108,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jan-Mar,2030.0,14454.22549,25466.57965,19960.38,High
109,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Apr-Jun,2030.0,14397.17005,25366.05492,19881.59,High
110,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Jul-Sep,2030.0,14186.62465,24995.09965,19590.84,High
111,Agrawal Road,"Lower average income levels and property prices; economic growth is limited, leading to higher risk.",-0.3818,Neutral,Agrawal Road,Oct-Dec,2030.0,14221.38365,25056.34076,19638.84,High
112,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2024.0,12174.98,20039.29591,16107.28,Moderate
113,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2024.0,12374.29488,20367.35638,16370.97,Moderate
114,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2024.0,12607.92868,20751.90379,16680.06333,Moderate
115,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2024.0,12568.11459,20686.37215,16627.39,Moderate
116,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2025.0,14040.8481,23110.40427,18575.79,Moderate
117,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2025.0,14575.13351,23989.8064,19282.64,Moderate
118,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2025.0,11494.17006,18918.72307,15206.58067,Moderate
119,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2025.0,10817.93715,17805.68376,14311.93667,Moderate
120,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2026.0,11895.19541,19578.78703,15737.13,Moderate
121,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2026.0,11815.1792,19447.0851,15631.27,Moderate
122,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2026.0,11975.51396,19710.98661,15843.39,Moderate
123,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2026.0,11887.17565,19565.58698,15726.52,Moderate
124,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2027.0,11963.26133,19690.81952,15827.18,Moderate
125,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2027.0,11903.54775,19592.5345,15748.18,Moderate
126,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2027.0,11956.51899,19679.72202,15818.26,Moderate
127,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2027.0,11898.81601,19584.74634,15741.92,Moderate
128,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2028.0,11153.44687,18357.91288,14755.81,Moderate
129,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2028.0,11140.55176,18336.68829,14738.75,Moderate
130,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2028.0,10955.81153,18032.61683,14494.342,Moderate
131,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2028.0,10855.50632,17867.52038,14361.64,Moderate
132,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2029.0,11344.85536,18672.95992,15009.04,Moderate
133,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2029.0,11512.35574,18948.65563,15230.64,Moderate
134,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2029.0,11711.25489,19276.03184,15493.78,Moderate
135,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2029.0,11781.11978,19391.02532,15586.21,Moderate
136,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jan-Mar,2030.0,12174.98,20039.29591,16107.28,Moderate
137,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Apr-Jun,2030.0,12374.29488,20367.35638,16370.97,Moderate
138,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Jul-Sep,2030.0,12607.92868,20751.90379,16680.06333,Moderate
139,Akurli Nagar,Reasonable economic activity; local amenities support stability.,0.4019,Positive,Akurli Nagar,Oct-Dec,2030.0,12568.11459,20686.37215,16627.39,Moderate
140,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jan-Mar,2024.0,11912.19431,21034.77946,17554.64,Moderate
141,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Apr-Jun,2024.0,12063.80223,21302.49161,17778.06,Moderate
142,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jul-Sep,2024.0,12046.70206,21272.2958,17752.86,Moderate
143,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Oct-Dec,2024.0,12166.27205,21483.43476,17929.06667,Moderate
144,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jan-Mar,2025.0,12768.30202,22546.51074,18816.26,Moderate
145,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Apr-Jun,2025.0,13020.92986,22992.60579,19188.55,Moderate
146,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jul-Sep,2025.0,9620.478173,16988.02348,14177.40733,Moderate
147,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Oct-Dec,2025.0,9201.59372,16248.34934,13560.11,Moderate
148,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jan-Mar,2026.0,6665.224844,11769.5809,9822.34,Moderate
149,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Apr-Jun,2026.0,6619.529394,11688.891,9755.0,Moderate
150,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jul-Sep,2026.0,6867.210402,12126.25084,10120.0,Moderate
151,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Oct-Dec,2026.0,7118.2843,12569.60191,10490.0,Moderate
152,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jan-Mar,2027.0,7600.074753,13420.35666,11200.0,Moderate
153,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Apr-Jun,2027.0,7881.684666,13917.62881,11615.0,Moderate
154,Akurli Road,Similar to Akurli Nagar; balanced economic factors with stable demand.,0.1779,Positive,Akurli Road,Jul-Sep,2027.0,8109.00833,14319.04126,11950.0,Moderate
