,Locality,Economic  Factor,Sentiment Score,Sentiment,Year,Quarter Period,Average Price,max_price,min_price,Risk
10,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2026,Jul-Sep,7012.29,8595.291013,5429.288987,Moderate
11,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2026,Oct-Dec,7163.88,8781.101949,5546.658051,Moderate
12,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2027,Jan-Mar,7244.98,8880.510002,5609.449998,Moderate
13,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2027,Apr-Jun,7189.74,8812.799757,5566.680243,Moderate
14,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2027,Jul-Sep,7151.87,8766.380731,5537.359269,Moderate
15,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2027,Oct-Dec,7109.69,8714.678737,5504.701263,Moderate
16,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2028,Jan-Mar,6512.91,7983.177648,5042.642352,Moderate
17,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2028,Apr-Jun,6503.46,7971.594343,5035.325657,Moderate
18,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2028,Jul-Sep,6656.97,8159.758712,5154.181288,Moderate
19,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2028,Oct-Dec,6769.3365,8297.491573,5241.181427,Moderate
20,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2029,Jan-Mar,6878.94,8431.837697,5326.042303,Moderate
21,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2029,Apr-Jun,6874.48,8426.370867,5322.589133,Moderate
22,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2029,Jul-Sep,6873.74,8425.463814,5322.016186,Moderate
23,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2029,Oct-Dec,6896.1925,8452.984891,5339.400109,Moderate
24,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2030,Jan-Mar,6858.92,8407.298249,5310.541751,Moderate
25,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2030,Apr-Jun,6494.38,7960.464563,5028.295437,Moderate
26,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2030,Jul-Sep,6384.003333,7825.170733,4942.835934,Moderate
27,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2030,Oct-Dec,6532.0675,8006.65989,5057.47511,Moderate
28,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2024,Jan-Mar,7038.351667,8708.557811,5541.71508,Moderate
29,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2024,Apr-Jun,7030.871667,8699.302801,5535.825628,Moderate
30,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2024,Jul-Sep,6246.799167,7729.169307,4918.478471,Moderate
31,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2024,Oct-Dec,6178.499667,7644.662284,4864.702191,Moderate
32,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2025,Jan-Mar,7115.313333,8803.782539,5602.311601,Moderate
33,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2025,Apr-Jun,7208.646667,8919.263942,5675.798515,Moderate
34,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2025,Jul-Sep,5733.686667,7094.294825,4514.474321,Moderate
35,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2025,Oct-Dec,5865.953833,7257.94909,4618.61617,Moderate
36,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2026,Jan-Mar,4136.11,5117.612014,3256.606695,Moderate
37,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2026,Apr-Jun,4204.7,5202.478472,3310.611703,Moderate
38,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2026,Jul-Sep,4282.68,5298.963185,3372.010019,Moderate
39,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2026,Oct-Dec,4498.52,5566.022179,3541.953756,Moderate
40,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2027,Jan-Mar,4699.91,5815.202178,3700.520144,Moderate
41,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2027,Apr-Jun,4683.26,5794.60112,3687.410603,Moderate
42,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2027,Jul-Sep,4991.0,6175.368054,3929.712704,Moderate
43,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2027,Oct-Dec,5173.29,6400.915608,4073.24052,Moderate
44,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2028,Jan-Mar,5674.18,7020.667181,4467.621165,Moderate
45,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2028,Apr-Jun,5787.48,7160.853357,4556.829029,Moderate
46,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2028,Jul-Sep,5921.01,7326.070126,4661.965181,Moderate
47,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2028,Oct-Dec,6091.358333,7536.842247,4796.090609,Moderate
48,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2029,Jan-Mar,6651.71,8230.165786,5237.288979,Moderate
49,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2029,Apr-Jun,6652.68,8231.365967,5238.052718,Moderate
50,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2029,Jul-Sep,6608.166667,8176.289586,5203.004709,Moderate
51,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2029,Oct-Dec,6800.853333,8414.700944,5354.718442,Moderate
52,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2030,Jan-Mar,7038.351667,8708.557811,5541.71508,Moderate
53,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2030,Apr-Jun,7030.871667,8699.302801,5535.825628,Moderate
54,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2030,Jul-Sep,6246.799167,7729.169307,4918.478471,Moderate
55,Akurdi,"Emerging suburban area with moderate demand. However, it lacks high-end infrastructure, which limits its potential.",-0.128,Negative,2030,Oct-Dec,6178.499667,7644.662284,4864.702191,Moderate
56,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2024,Jan-Mar,4578.81,5524.533965,3633.125583,Low
57,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2024,Apr-Jun,4567.635,5511.05084,3624.258612,Low
58,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2024,Jul-Sep,4517.342,5450.370142,3584.352875,Low
59,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2024,Oct-Dec,4620.726667,5575.108252,3666.384992,Low
60,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2025,Jan-Mar,4803.515,5795.650348,3811.421141,Low
61,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2025,Apr-Jun,4760.2105,5743.40158,3777.060535,Low
62,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2025,Jul-Sep,4466.436333,5388.950235,3543.961009,Low
63,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2025,Oct-Dec,4635.505333,5592.939358,3678.111347,Low
64,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2026,Jan-Mar,4254.33,5133.034693,3375.662052,Low
65,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2026,Apr-Jun,4333.41,5228.448162,3438.409267,Low
66,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2026,Jul-Sep,4193.77,5059.966412,3327.609811,Low
67,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2026,Oct-Dec,4345.64,5243.204191,3448.113344,Low
68,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2027,Jan-Mar,4467.35,5390.052614,3544.685972,Low
69,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2027,Apr-Jun,4449.49,5368.503745,3530.514686,Low
70,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2027,Jul-Sep,4518.02,5451.188179,3584.890844,Low
71,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2027,Oct-Dec,4635.33,5592.72781,3677.972226,Low
72,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2028,Jan-Mar,4245.81,5122.754942,3368.90173,Low
73,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2028,Apr-Jun,4278.68,5162.41403,3394.982926,Low
74,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2028,Jul-Sep,4274.1675,5156.969502,3391.402415,Low
75,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2028,Oct-Dec,4284.6875,5169.662341,3399.749667,Low
76,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2029,Jan-Mar,4399.6,5308.309284,3490.928716,Low
77,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2029,Apr-Jun,4393.44,5300.876976,3486.040972,Low
78,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2029,Jul-Sep,4387.82,5294.0962,3481.581698,Low
79,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2029,Oct-Dec,4461.833333,5383.396515,3540.30869,Low
80,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2030,Jan-Mar,4578.81,5524.533965,3633.125583,Low
81,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2030,Apr-Jun,4567.635,5511.05084,3624.258612,Low
82,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2030,Jul-Sep,4517.342,5450.370142,3584.352875,Low
83,Alandi,Developing residential area with increased demand due to affordability and growth in surrounding regions.,0.4939,Positive,2030,Oct-Dec,4620.726667,5575.108252,3666.384992,Low
84,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2024,Jan-Mar,4097.92,5617.983386,3558.573991,Low
85,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2024,Apr-Jun,4091.56,5609.264237,3553.051059,Low
86,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2024,Jul-Sep,4005.79,5491.679112,3478.569642,Low
87,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2024,Oct-Dec,4430.48,6073.901646,3847.364247,Low
88,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2025,Jan-Mar,4084.1,5599.03706,3546.572904,Low
89,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2025,Apr-Jun,3663.66,5022.641001,3181.468937,Low
90,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2025,Jul-Sep,2921.6625,4005.4104,2537.129125,Low
91,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2025,Oct-Dec,4261.59,5842.364375,3700.702633,Low
92,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2026,Jan-Mar,2598.65,3562.581145,2256.629778,Low
93,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2026,Apr-Jun,2624.11,3597.485159,2278.738871,Low
94,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2026,Jul-Sep,2549.05,3494.582752,2213.557861,Low
95,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2026,Oct-Dec,2591.94,3553.382169,2250.802912,Low
96,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2027,Jan-Mar,2754.41,3776.118035,2391.889492,Low
97,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2027,Apr-Jun,2807.0,3848.215525,2437.557881,Low
98,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2027,Jul-Sep,2885.4,3955.696857,2505.639298,Low
99,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2027,Oct-Dec,2988.66,4097.259641,2595.308777,Low
100,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2028,Jan-Mar,3574.82,4900.847105,3104.321576,Low
101,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2028,Apr-Jun,3355.44,4600.091308,2913.815182,Low
102,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2028,Jul-Sep,3344.69,4585.353753,2904.480039,Low
103,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2028,Oct-Dec,3651.36,5005.778497,3170.787796,Low
104,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2029,Jan-Mar,3715.85,5094.190117,3226.789972,Low
105,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2029,Apr-Jun,3711.65,5088.432189,3223.142754,Low
106,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2029,Jul-Sep,3816.68,5232.421529,3314.349275,Low
107,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2029,Oct-Dec,4062.24,5569.068413,3527.589999,Low
108,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2030,Jan-Mar,4097.92,5617.983386,3558.573991,Low
109,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2030,Apr-Jun,4091.56,5609.264237,3553.051059,Low
110,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2030,Jul-Sep,4005.79,5491.679112,3478.569642,Low
111,Alandi Markal Road,Rural and affordable with potential growth due to increasing connectivity.,0.3818,Positive,2030,Oct-Dec,4430.48,6073.901646,3847.364247,Low
112,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2024,Jan-Mar,6133.382,7270.194878,4598.746064,Low
113,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2024,Apr-Jun,6128.337,7264.214795,4594.963375,Low
114,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2024,Jul-Sep,6356.730333,7534.94048,4766.210322,Low
115,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2024,Oct-Dec,6643.783333,7875.19831,4981.439678,Low
116,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2025,Jan-Mar,6034.228667,7152.663628,4524.401925,Low
117,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2025,Apr-Jun,6037.733667,7156.818274,4527.029938,Low
118,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2025,Jul-Sep,6173.621333,7317.89251,4628.917098,Low
119,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2025,Oct-Dec,6246.684167,7404.497426,4683.69885,Low
120,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2026,Jan-Mar,4733.01,5610.266091,3548.761696,Low
121,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2026,Apr-Jun,4835.11,5731.290169,3625.315214,Low
122,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2026,Jul-Sep,4746.27,5625.983812,3558.703906,Low
123,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2026,Oct-Dec,4998.72,5925.225029,3747.988292,Low
124,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2027,Jan-Mar,4796.27,5685.251235,3596.193386,Low
125,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2027,Apr-Jun,4913.21,5823.865883,3683.873783,Low
126,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2027,Jul-Sep,4875.52,5779.1901,3655.614212,Low
127,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2027,Oct-Dec,5139.26,6091.813901,3853.363723,Low
128,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2028,Jan-Mar,5531.32,6556.541617,4147.326235,Low
129,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2028,Apr-Jun,5584.66,6619.768103,4187.320012,Low
130,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2028,Jul-Sep,5741.54,6805.725569,4304.947006,Low
131,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2028,Oct-Dec,5790.75,6864.056566,4341.844152,Low
132,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2029,Jan-Mar,5810.09,6886.981205,4356.345083,Low
133,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2029,Apr-Jun,5830.33,6910.972658,4371.520825,Low
134,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2029,Jul-Sep,5923.54,7021.458988,4441.408714,Low
135,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2029,Oct-Dec,6010.433333,7124.457866,4506.560432,Low
136,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2030,Jan-Mar,6133.382,7270.194878,4598.746064,Low
137,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2030,Apr-Jun,6128.337,7264.214795,4594.963375,Low
138,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2030,Jul-Sep,6356.730333,7534.94048,4766.210322,Low
139,Alandi Road,"Affordable and experiencing growth due to infrastructure development, especially transport.",0.3818,Positive,2030,Oct-Dec,6643.783333,7875.19831,4981.439678,Low
140,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2024,Jan-Mar,9876.01,11963.18379,7788.878505,Moderate
141,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2024,Apr-Jun,9951.335,12054.42781,7848.284811,Moderate
142,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2024,Jul-Sep,9818.206714,11893.16449,7743.290988,Moderate
143,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2024,Oct-Dec,10098.32857,12232.48667,7964.213721,Moderate
144,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2025,Jan-Mar,9985.405,12095.69808,7875.15468,Moderate
145,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2025,Apr-Jun,9800.585,11871.81864,7729.393332,Moderate
146,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2025,Jul-Sep,9312.344714,11280.39475,7344.334562,Moderate
147,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2025,Oct-Dec,9637.916071,11674.77162,7601.101793,Moderate
148,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2026,Jan-Mar,7643.62,9259.005497,6028.267237,Moderate
149,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2026,Apr-Jun,7748.18,9385.662973,6110.730209,Moderate
150,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2026,Jul-Sep,7781.36,9425.85516,6136.898165,Moderate
151,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2026,Oct-Dec,7818.53,9470.880584,6166.2129,Moderate
152,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2027,Jan-Mar,7728.8,9362.187247,6095.445852,Moderate
153,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2027,Apr-Jun,7862.07,9523.62223,6200.55144,Moderate
154,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2027,Jul-Sep,7871.05,9534.500043,6207.633666,Moderate
155,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2027,Oct-Dec,7876.41,9540.992813,6211.860918,Moderate
156,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2028,Jan-Mar,7933.68,9610.366127,6257.02785,Moderate
157,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2028,Apr-Jun,7867.59,9530.308814,6204.904879,Moderate
158,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2028,Jul-Sep,8170.69,9897.465288,6443.949704,Moderate
159,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2028,Oct-Dec,8219.445,9956.52406,6482.40114,Moderate
160,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2029,Jan-Mar,8858.59,10730.74453,6986.473407,Moderate
161,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2029,Apr-Jun,8865.63,10739.27235,6992.02562,Moderate
162,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2029,Jul-Sep,9155.322,11090.18721,7220.496003,Moderate
163,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2029,Oct-Dec,9420.489571,11411.3947,7429.624791,Moderate
164,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2030,Jan-Mar,9876.01,11963.18379,7788.878505,Moderate
165,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2030,Apr-Jun,9951.335,12054.42781,7848.284811,Moderate
166,Amanora Park Town,"Well-developed township with modern amenities and high demand, making it a low-risk area.",-0.128,Negative,2030,Jul-Sep,9818.206714,11893.16449,7743.290988,Moderate
