,location,Year,Quarter Period,Average Price,max_price,min_price,Locality,Economic  Factor,Sentiment Score,Sentiment,Risk
10,100 Feet Ring Road,2026,Jul-Sep,9013.56,11600.106014004326,6142.6518841137895,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
11,100 Feet Ring Road,2026,Oct-Dec,8832.77,11367.436218022292,6019.44528936888,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
12,100 Feet Ring Road,2027,Jan-Mar,9262.700000000008,11920.739638491115,6312.438327029593,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
13,100 Feet Ring Road,2027,Apr-Jun,9270.950000000012,11931.357072070698,6318.060620334786,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
14,100 Feet Ring Road,2027,Jul-Sep,9367.880000000006,12056.10226441838,6384.117455495047,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
15,100 Feet Ring Road,2027,Oct-Dec,9207.600000000006,11849.828051795996,6274.88822265189,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
16,100 Feet Ring Road,2028,Jan-Mar,9356.849999999997,12041.907077462884,6376.600619718524,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
17,100 Feet Ring Road,2028,Apr-Jun,9405.139999999996,12104.054455348676,6409.509776531576,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
18,100 Feet Ring Road,2028,Jul-Sep,9198.999999999996,11838.760181640302,6269.027407812533,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
19,100 Feet Ring Road,2028,Oct-Dec,9429.240000000009,12135.070231017517,6425.9336878837175,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
20,100 Feet Ring Road,2029,Jan-Mar,9553.179999999998,12294.576257423909,6510.397570580122,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
21,100 Feet Ring Road,2029,Apr-Jun,9596.189999999986,12349.928477818756,6539.708459677844,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
22,100 Feet Ring Road,2029,Jul-Sep,9364.999999999982,12052.395814877842,6382.154764013945,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
23,100 Feet Ring Road,2029,Oct-Dec,9455.899999999983,12169.380628500096,6444.102213885689,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
24,100 Feet Ring Road,2030,Jan-Mar,9770.56071428572,12574.336899291757,6658.540374774824,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
25,100 Feet Ring Road,2030,Apr-Jun,9890.09999999999,12728.179375197378,6740.005214263148,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
26,100 Feet Ring Road,2030,Jul-Sep,9914.91866666665,12760.120047302462,6756.918889832085,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
27,100 Feet Ring Road,2030,Oct-Dec,9799.99,12612.211261275486,6678.596141568515,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
28,Aga Abbas Ali Road,2024,Jan-Mar,13112.830000000007,16359.689141836116,9788.17327641279,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
29,Aga Abbas Ali Road,2024,Apr-Jun,13215.14999999999,16487.344529192804,9864.550831040006,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
30,Aga Abbas Ali Road,2024,Jul-Sep,13530.400000000014,16880.653372666275,10099.871629478586,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
31,Aga Abbas Ali Road,2024,Oct-Dec,12781.140000000009,15945.86960086322,9540.580712942256,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
32,Aga Abbas Ali Road,2025,Jan-Mar,13345.597999999987,16650.092671979233,9961.92474861245,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
33,Aga Abbas Ali Road,2025,Apr-Jun,13350.88133333332,16656.68420797612,9965.868533603463,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
34,Aga Abbas Ali Road,2025,Jul-Sep,12382.140333333327,15448.073891289992,9242.744328686193,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
35,Aga Abbas Ali Road,2025,Oct-Dec,8920.720000000003,11129.573564315271,6658.94037445472,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
36,Aga Abbas Ali Road,2026,Jan-Mar,10085.420000000006,12582.664159060769,7528.339689098317,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
37,Aga Abbas Ali Road,2026,Apr-Jun,10123.150000000003,12629.736459343883,7556.503539138243,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
38,Aga Abbas Ali Road,2026,Jul-Sep,10274.149999999998,12818.125469223303,7669.218655916106,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
39,Aga Abbas Ali Road,2026,Oct-Dec,10436.100000000002,13020.175801342337,7790.10748480469,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
40,Aga Abbas Ali Road,2027,Jan-Mar,10612.369999999986,13240.091899166468,7921.685588343982,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
41,Aga Abbas Ali Road,2027,Apr-Jun,10723.63999999998,13378.913390088868,8004.743939627906,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
42,Aga Abbas Ali Road,2027,Jul-Sep,10880.659999999987,13574.813008176743,8121.952731922356,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
43,Aga Abbas Ali Road,2027,Oct-Dec,11104.21999999999,13853.728551545257,8288.830821371763,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
44,Aga Abbas Ali Road,2028,Jan-Mar,11583.61999999998,14451.832467679,8646.682655698309,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
45,Aga Abbas Ali Road,2028,Apr-Jun,11606.119999999975,14479.903677760369,8663.477954555938,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
46,Aga Abbas Ali Road,2028,Jul-Sep,11772.14,14687.031779880812,8787.404866393448,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
47,Aga Abbas Ali Road,2028,Oct-Dec,11854.769999999997,14790.121739392973,8849.08466837593,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
48,Aga Abbas Ali Road,2029,Jan-Mar,12345.499999999996,15402.361069314376,9215.39386874946,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
49,Aga Abbas Ali Road,2029,Apr-Jun,12415.999999999984,15490.317527569325,9268.019138503358,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
50,Aga Abbas Ali Road,2029,Jul-Sep,12348.389999999976,15405.966660298134,9217.551131580492,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
51,Aga Abbas Ali Road,2029,Oct-Dec,12518.92999999998,15618.733956621569,9344.852032344055,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
52,Aga Abbas Ali Road,2030,Jan-Mar,13112.830000000007,16359.689141836116,9788.17327641279,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
53,Aga Abbas Ali Road,2030,Apr-Jun,13215.14999999999,16487.344529192804,9864.550831040006,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
54,Aga Abbas Ali Road,2030,Jul-Sep,13530.400000000014,16880.653372666275,10099.871629478586,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
55,Aga Abbas Ali Road,2030,Oct-Dec,12781.140000000009,15945.86960086322,9540.580712942256,Aga Abbas Ali Road,"Established, well-connected area with steady growth and high demand.",0.2732,Positive,Low
56,Akshayanagar,2024,Jan-Mar,6041.010000000011,7447.372626880108,4634.435870935224,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
57,Akshayanagar,2024,Apr-Jun,5912.910000000004,7289.450618225364,4536.162364507187,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
58,Akshayanagar,2024,Jul-Sep,6167.493333333321,7603.30160472041,4731.469131445527,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
59,Akshayanagar,2024,Oct-Dec,9615.419999999998,11853.914445424753,7376.588908495082,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
60,Akshayanagar,2025,Jan-Mar,7515.196666666682,9264.753731735917,5765.376486569768,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
61,Akshayanagar,2025,Apr-Jun,7339.368000000009,9047.991700361326,5630.487340559623,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
62,Akshayanagar,2025,Jul-Sep,6993.738,8621.898149609278,5365.33299218553,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
63,Akshayanagar,2025,Oct-Dec,5922.79000000001,7301.630707573606,4543.741929249651,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
64,Akshayanagar,2026,Jan-Mar,5430.070000000003,6694.204227445877,4165.745660028571,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
65,Akshayanagar,2026,Apr-Jun,5435.419999999993,6700.799721171882,4169.849978993356,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
66,Akshayanagar,2026,Jul-Sep,5373.860000000003,6624.908395232898,4122.62346021343,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
67,Akshayanagar,2026,Oct-Dec,5461.940000000008,6733.493645211897,4190.195126459968,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
68,Akshayanagar,2027,Jan-Mar,5618.389999999996,6926.365606601681,4310.217687589275,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
69,Akshayanagar,2027,Apr-Jun,5679.549999999994,7001.763811514432,4357.137341399877,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
70,Akshayanagar,2027,Jul-Sep,5699.359999999992,7026.185630339177,4372.334829005959,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
71,Akshayanagar,2027,Oct-Dec,5679.479999999991,7001.677515334834,4357.083640030242,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
72,Akshayanagar,2028,Jan-Mar,5522.140000000008,6807.708359661663,4236.378304344178,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
73,Akshayanagar,2028,Apr-Jun,5450.320000000009,6719.168479399502,4181.280699100922,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
74,Akshayanagar,2028,Jul-Sep,5571.310000000006,6868.325261812741,4274.099680699105,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
75,Akshayanagar,2028,Oct-Dec,5709.700000000004,7038.932808867607,4380.267288463157,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
76,Akshayanagar,2029,Jan-Mar,5856.959999999994,7220.475314679432,4493.239626922103,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
77,Akshayanagar,2029,Apr-Jun,5796.569999999994,7146.0263677422,4446.91068817746,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
78,Akshayanagar,2029,Jul-Sep,5654.399999999994,6970.758826989322,4337.843206453234,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
79,Akshayanagar,2029,Oct-Dec,5814.82000000001,7168.525014564615,4460.911402403167,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
80,Akshayanagar,2030,Jan-Mar,6041.010000000011,7447.372626880108,4634.435870935224,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
81,Akshayanagar,2030,Apr-Jun,5912.910000000004,7289.450618225364,4536.162364507187,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
82,Akshayanagar,2030,Jul-Sep,6167.493333333321,7603.30160472041,4731.469131445527,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
83,Akshayanagar,2030,Oct-Dec,9615.419999999998,11853.914445424753,7376.588908495082,Akshayanagar,Established area with high residential demand and good infrastructure.,0.34,Positive,Moderate
84,Amrutahalli,2024,Jan-Mar,7334.119999999999,9047.837287468912,5620.449241739836,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
85,Amrutahalli,2024,Apr-Jun,7152.520000000014,8823.803967669915,5481.281409430048,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
86,Amrutahalli,2024,Jul-Sep,7446.800000000013,9186.846508145984,5706.800735928549,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
87,Amrutahalli,2024,Oct-Dec,7363.779999999994,9084.427751484538,5643.178965893515,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
88,Amrutahalli,2025,Jan-Mar,8275.352000000015,10209.000997056304,6341.755503527394,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
89,Amrutahalli,2025,Apr-Jun,7705.662000000011,9506.195149279312,5905.177737070506,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
90,Amrutahalli,2025,Jul-Sep,7607.045333333334,9384.53535180768,5829.60357556379,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
91,Amrutahalli,2025,Oct-Dec,5812.709999999996,7170.929065687961,4454.5278113739,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
92,Amrutahalli,2026,Jan-Mar,5610.389999999993,6921.3342349515215,4299.481358549454,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
93,Amrutahalli,2026,Apr-Jun,5519.609999999992,6809.342248325118,4229.912769248332,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
94,Amrutahalli,2026,Jul-Sep,5620.389999999986,6933.670871504322,4307.144785438755,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
95,Amrutahalli,2026,Oct-Dec,5571.419999999987,6873.258362305217,4269.616983961824,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
96,Amrutahalli,2027,Jan-Mar,6057.609999999998,7473.053294866261,4642.20513589301,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
97,Amrutahalli,2027,Apr-Jun,6058.480000000007,7474.1265822463665,4642.871854032386,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
98,Amrutahalli,2027,Jul-Sep,5945.769999999989,7335.080351659632,4556.497369563002,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
99,Amrutahalli,2027,Oct-Dec,5865.679999999985,7236.276229508178,4495.120983606546,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
100,Amrutahalli,2028,Jan-Mar,5872.350000000008,7244.50476608893,4500.232489341731,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
101,Amrutahalli,2028,Apr-Jun,6011.490000000007,7416.156727084716,4606.861411079537,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
102,Amrutahalli,2028,Jul-Sep,5799.620000000005,7154.780408440346,4444.496385575805,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
103,Amrutahalli,2028,Oct-Dec,5905.039999999992,7284.8332309800435,4525.28423184286,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
104,Amrutahalli,2029,Jan-Mar,5771.630000000004,7120.25016272903,4423.046453712635,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
105,Amrutahalli,2029,Apr-Jun,6083.719999999992,7505.264252905639,4662.214343500984,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
106,Amrutahalli,2029,Jul-Sep,6170.469999999994,7612.284575001261,4728.694571765716,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
107,Amrutahalli,2029,Oct-Dec,6109.619999999997,7537.216141577422,4682.062619144291,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
108,Amrutahalli,2030,Jan-Mar,7334.119999999999,9047.837287468912,5620.449241739836,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
109,Amrutahalli,2030,Apr-Jun,7152.520000000014,8823.803967669915,5481.281409430048,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
110,Amrutahalli,2030,Jul-Sep,7446.800000000013,9186.846508145984,5706.800735928549,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
111,Amrutahalli,2030,Oct-Dec,7363.779999999994,9084.427751484538,5643.178965893515,Amrutahalli,"Growing area with moderate demand, but some gaps in infrastructure.",0.0258,Neutral,Moderate
112,Amruthahalli Main Road,2024,Jan-Mar,7428.870000000001,9149.639477347711,5708.10052265229,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
113,Amruthahalli Main Road,2024,Apr-Jun,7320.33000000001,9015.958060272,5624.70193972802,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
114,Amruthahalli Main Road,2024,Jul-Sep,7600.920000000011,9361.54188943431,5840.298110565713,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
115,Amruthahalli Main Road,2024,Oct-Dec,6966.309999999992,8579.935439365887,5352.684560634098,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
116,Amruthahalli Main Road,2025,Jan-Mar,8061.530000000011,9928.844243582536,6194.215756417487,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
117,Amruthahalli Main Road,2025,Apr-Jun,7944.740000000004,9785.001856441624,6104.4781435583845,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
118,Amruthahalli Main Road,2025,Jul-Sep,7799.321666666662,9605.89987681392,5992.743456519404,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
119,Amruthahalli Main Road,2025,Oct-Dec,5883.169999999996,7245.904758590161,4520.43524140983,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
120,Amruthahalli Main Road,2026,Jan-Mar,5600.189999999993,6897.377327190786,4303.002672809201,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
121,Amruthahalli Main Road,2026,Apr-Jun,5519.609999999992,6798.13236139051,4241.087638609473,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
122,Amruthahalli Main Road,2026,Jul-Sep,5620.389999999986,6922.25630844128,4318.523691558692,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
123,Amruthahalli Main Road,2026,Oct-Dec,5557.419999999989,6844.700395107414,4270.139604892564,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
124,Amruthahalli Main Road,2027,Jan-Mar,6047.409999999998,7448.188119015045,4646.631880984951,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
125,Amruthahalli Main Road,2027,Apr-Jun,6058.480000000007,7461.822293393426,4655.137706606588,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
126,Amruthahalli Main Road,2027,Jul-Sep,5945.769999999989,7323.004967812008,4568.53503218797,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
127,Amruthahalli Main Road,2027,Oct-Dec,5841.569999999985,7194.6688368069335,4488.471163193037,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
128,Amruthahalli Main Road,2028,Jan-Mar,5790.780000000006,7132.114210187502,4449.44578981251,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
129,Amruthahalli Main Road,2028,Apr-Jun,5940.720000000005,7316.785222499402,4564.654777500607,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
130,Amruthahalli Main Road,2028,Jul-Sep,5736.7100000000055,7065.519828196675,4407.900171803336,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
131,Amruthahalli Main Road,2028,Oct-Dec,5808.079999999993,7153.421456505986,4462.738543494,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
132,Amruthahalli Main Road,2029,Jan-Mar,5670.170000000005,6983.5669859982345,4356.773014001775,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
133,Amruthahalli Main Road,2029,Apr-Jun,5989.809999999993,7377.24607346905,4602.373926530936,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
134,Amruthahalli Main Road,2029,Jul-Sep,6097.639999999994,7510.0530313028,4685.226968697188,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
135,Amruthahalli Main Road,2029,Oct-Dec,5941.459999999998,7317.6966307234225,4565.223369276574,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
136,Amruthahalli Main Road,2030,Jan-Mar,7428.870000000001,9149.639477347711,5708.10052265229,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
137,Amruthahalli Main Road,2030,Apr-Jun,7320.33000000001,9015.958060272,5624.70193972802,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
138,Amruthahalli Main Road,2030,Jul-Sep,7600.920000000011,9361.54188943431,5840.298110565713,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
139,Amruthahalli Main Road,2030,Oct-Dec,6966.309999999992,8579.935439365887,5352.684560634098,Amruthahalli Main Road,"Similar to Amrutahalli, moderate demand with some infrastructure gaps.",-0.128,Negative,Moderate
140,Anekal Main Road,2024,Jan-Mar,4288.909999999995,5387.815828644655,3189.60198549637,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
141,Anekal Main Road,2024,Apr-Jun,4242.890000000006,5330.004570205058,3155.3775593898517,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
142,Anekal Main Road,2024,Jul-Sep,4672.236666666659,5869.358570788521,3474.676630824367,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
143,Anekal Main Road,2024,Oct-Dec,4970.0,6243.414916229057,3696.1190297574394,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
144,Anekal Main Road,2025,Jan-Mar,5190.919999999994,6520.939106026499,3860.414123530877,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
145,Anekal Main Road,2025,Apr-Jun,6095.659999999992,7657.491864841199,4533.256524131026,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
146,Anekal Main Road,2025,Jul-Sep,5011.599999999992,6295.67368092022,3727.056364091016,Anekal Main Road,Underdeveloped area with slow growth and limited demand.,0.0516,Neutral,Moderate
