,location,predicted_price,quarter,year,Locality,Risk
25,100 Feet Ring Road,9844.435,Apr-Jun,2030,100 Feet Ring Road,Moderate
26,100 Feet Ring Road,9890.408333,Jul-Sep,2030,100 Feet Ring Road,Moderate
27,100 Feet Ring Road,9609.035,Oct-Dec,2030,100 Feet Ring Road,Moderate
28,Rajajinagar,15074,Jan-Mar,2024,Rajajinagar,Low
29,Rajajinagar,15554.83,Apr-Jun,2024,Rajajinagar,Low
30,Rajajinagar,15148.595,Jul-Sep,2024,Rajajinagar,Low
31,Rajajinagar,14868.58,Oct-Dec,2024,Rajajinagar,Low
32,Rajajinagar,16375.17,Jan-Mar,2025,Rajajinagar,Low
33,Rajajinagar,16915.16833,Apr-Jun,2025,Rajajinagar,Low
34,Rajajinagar,14227.759,Jul-Sep,2025,Rajajinagar,Low
35,Rajajinagar,9655.879667,Oct-Dec,2025,Rajajinagar,Low
36,Rajajinagar,9665.83,Jan-Mar,2026,Rajajinagar,Low
37,Rajajinagar,9871.73,Apr-Jun,2026,Rajajinagar,Low
38,Rajajinagar,10243.11,Jul-Sep,2026,Rajajinagar,Low
39,Rajajinagar,10436.5,Oct-Dec,2026,Rajajinagar,Low
40,Rajajinagar,10896.6,Jan-Mar,2027,Rajajinagar,Low
41,Rajajinagar,11270.86,Apr-Jun,2027,Rajajinagar,Low
42,Rajajinagar,11729.08,Jul-Sep,2027,Rajajinagar,Low
43,Rajajinagar,12003.19,Oct-Dec,2027,Rajajinagar,Low
44,Rajajinagar,11823.62,Jan-Mar,2028,Rajajinagar,Low
45,Rajajinagar,11736.18667,Apr-Jun,2028,Rajajinagar,Low
46,Rajajinagar,12533.28,Jul-Sep,2028,Rajajinagar,Low
47,Rajajinagar,11761.35,Oct-Dec,2028,Rajajinagar,Low
48,Rajajinagar,13296.49,Jan-Mar,2029,Rajajinagar,Low
49,Rajajinagar,13152.17,Apr-Jun,2029,Rajajinagar,Low
50,Rajajinagar,13913.34,Jul-Sep,2029,Rajajinagar,Low
51,Rajajinagar,13707.43,Oct-Dec,2029,Rajajinagar,Low
52,Rajajinagar,15074,Jan-Mar,2030,Rajajinagar,Low
53,Rajajinagar,15554.83,Apr-Jun,2030,Rajajinagar,Low
54,Rajajinagar,15148.595,Jul-Sep,2030,Rajajinagar,Low
55,Rajajinagar,14868.58,Oct-Dec,2030,Rajajinagar,Low
56,Thanisandra,7377.39,Jan-Mar,2024,Thanisandra,Moderate
57,Thanisandra,7767.85,Apr-Jun,2024,Thanisandra,Moderate
58,Thanisandra,8306.6,Jul-Sep,2024,Thanisandra,Moderate
59,Thanisandra,8655.19,Oct-Dec,2024,Thanisandra,Moderate
60,Thanisandra,9593.66,Jan-Mar,2025,Thanisandra,Moderate
61,Thanisandra,9682.688667,Apr-Jun,2025,Thanisandra,Moderate
62,Thanisandra,9758.018333,Jul-Sep,2025,Thanisandra,Moderate
63,Thanisandra,5724.42,Oct-Dec,2025,Thanisandra,Moderate
64,Thanisandra,5346.05,Jan-Mar,2026,Thanisandra,Moderate
65,Thanisandra,5379.27,Apr-Jun,2026,Thanisandra,Moderate
66,Thanisandra,5469.03,Jul-Sep,2026,Thanisandra,Moderate
67,Thanisandra,5477.03,Oct-Dec,2026,Thanisandra,Moderate
68,Thanisandra,5750.78,Jan-Mar,2027,Thanisandra,Moderate
69,Thanisandra,5849.08,Apr-Jun,2027,Thanisandra,Moderate
70,Thanisandra,5971.05,Jul-Sep,2027,Thanisandra,Moderate
71,Thanisandra,6013.86,Oct-Dec,2027,Thanisandra,Moderate
72,Thanisandra,6708.86,Jan-Mar,2028,Thanisandra,Moderate
73,Thanisandra,6164.57,Apr-Jun,2028,Thanisandra,Moderate
74,Thanisandra,6270.47,Jul-Sep,2028,Thanisandra,Moderate
75,Thanisandra,6489.88,Oct-Dec,2028,Thanisandra,Moderate
76,Thanisandra,6495.82,Jan-Mar,2029,Thanisandra,Moderate
77,Thanisandra,6625.37,Apr-Jun,2029,Thanisandra,Moderate
78,Thanisandra,6882.79,Jul-Sep,2029,Thanisandra,Moderate
79,Thanisandra,7385.23,Oct-Dec,2029,Thanisandra,Moderate
80,Thanisandra,7377.39,Jan-Mar,2030,Thanisandra,Moderate
81,Thanisandra,7767.85,Apr-Jun,2030,Thanisandra,Moderate
82,Thanisandra,8306.6,Jul-Sep,2030,Thanisandra,Moderate
83,Thanisandra,8655.19,Oct-Dec,2030,Thanisandra,Moderate
84,Jalahalli,6375.72,Jan-Mar,2024,Jalahalli,Moderate
85,Jalahalli,6616.77,Apr-Jun,2024,Jalahalli,Moderate
86,Jalahalli,6482.85,Jul-Sep,2024,Jalahalli,Moderate
87,Jalahalli,6757.6,Oct-Dec,2024,Jalahalli,Moderate
88,Jalahalli,7144.52,Jan-Mar,2025,Jalahalli,Moderate
89,Jalahalli,7322.08,Apr-Jun,2025,Jalahalli,Moderate
90,Jalahalli,6156.985,Jul-Sep,2025,Jalahalli,Moderate
91,Jalahalli,5647.29,Oct-Dec,2025,Jalahalli,Moderate
92,Jalahalli,5897.65,Jan-Mar,2026,Jalahalli,Moderate
93,Jalahalli,5968.02,Apr-Jun,2026,Jalahalli,Moderate
94,Jalahalli,5995.84,Jul-Sep,2026,Jalahalli,Moderate
95,Jalahalli,6002.06,Oct-Dec,2026,Jalahalli,Moderate
96,Jalahalli,6071.12,Jan-Mar,2027,Jalahalli,Moderate
97,Jalahalli,6048.77,Apr-Jun,2027,Jalahalli,Moderate
98,Jalahalli,6114.93,Jul-Sep,2027,Jalahalli,Moderate
99,Jalahalli,6025.26,Oct-Dec,2027,Jalahalli,Moderate
100,Jalahalli,6082.72,Jan-Mar,2028,Jalahalli,Moderate
101,Jalahalli,6126.14,Apr-Jun,2028,Jalahalli,Moderate
102,Jalahalli,6169.6,Jul-Sep,2028,Jalahalli,Moderate
103,Jalahalli,6377.18,Oct-Dec,2028,Jalahalli,Moderate
104,Jalahalli,6443.58,Jan-Mar,2029,Jalahalli,Moderate
105,Jalahalli,6396.35,Apr-Jun,2029,Jalahalli,Moderate
106,Jalahalli,6388.74,Jul-Sep,2029,Jalahalli,Moderate
107,Jalahalli,6381.78,Oct-Dec,2029,Jalahalli,Moderate
108,Jalahalli,6375.72,Jan-Mar,2030,Jalahalli,Moderate
109,Jalahalli,6616.77,Apr-Jun,2030,Jalahalli,Moderate
110,Jalahalli,6482.85,Jul-Sep,2030,Jalahalli,Moderate
111,Jalahalli,6757.6,Oct-Dec,2030,Jalahalli,Moderate
112,Channasandra,8056.113333,Jan-Mar,2024,Channasandra,High
113,Channasandra,7949.843333,Apr-Jun,2024,Channasandra,High
114,Channasandra,8658.853333,Jul-Sep,2024,Channasandra,High
115,Channasandra,8622.1,Oct-Dec,2024,Channasandra,High
116,Channasandra,9451.693333,Jan-Mar,2025,Channasandra,High
117,Channasandra,9419.273333,Apr-Jun,2025,Channasandra,High
118,Channasandra,8280.14,Jul-Sep,2025,Channasandra,High
119,Channasandra,5672.721667,Oct-Dec,2025,Channasandra,High
120,Channasandra,7247.1,Jan-Mar,2026,Channasandra,High
121,Channasandra,7334.8,Apr-Jun,2026,Channasandra,High
122,Channasandra,7440.25,Jul-Sep,2026,Channasandra,High
123,Channasandra,7515.2,Oct-Dec,2026,Channasandra,High
124,Channasandra,7773.25,Jan-Mar,2027,Channasandra,High
125,Channasandra,7811.85,Apr-Jun,2027,Channasandra,High
126,Channasandra,7897.95,Jul-Sep,2027,Channasandra,High
127,Channasandra,8005.85,Oct-Dec,2027,Channasandra,High
128,Channasandra,7968.17,Jan-Mar,2028,Channasandra,High
129,Channasandra,8353.2,Apr-Jun,2028,Channasandra,High
130,Channasandra,8551.99,Jul-Sep,2028,Channasandra,High
131,Channasandra,8428.33,Oct-Dec,2028,Channasandra,High
132,Channasandra,8396.07,Jan-Mar,2029,Channasandra,High
133,Channasandra,8344.94,Apr-Jun,2029,Channasandra,High
134,Channasandra,8830.89,Jul-Sep,2029,Channasandra,High
135,Channasandra,8929.17,Oct-Dec,2029,Channasandra,High
136,Channasandra,8056.113333,Jan-Mar,2030,Channasandra,High
137,Channasandra,7949.843333,Apr-Jun,2030,Channasandra,High
138,Channasandra,8658.853333,Jul-Sep,2030,Channasandra,High
139,Channasandra,8622.1,Oct-Dec,2030,Channasandra,High
140,Rachenahalli Main Road,10392.31667,Jan-Mar,2024,Rachenahalli Main Road,Moderate
141,Rachenahalli Main Road,10389.71667,Apr-Jun,2024,Rachenahalli Main Road,Moderate
142,Rachenahalli Main Road,10417.14333,Jul-Sep,2024,Rachenahalli Main Road,Moderate
143,Rachenahalli Main Road,9899.89,Oct-Dec,2024,Rachenahalli Main Road,Moderate
144,Rachenahalli Main Road,11067.89667,Jan-Mar,2025,Rachenahalli Main Road,Moderate
145,Rachenahalli Main Road,10967.76667,Apr-Jun,2025,Rachenahalli Main Road,Moderate
146,Rachenahalli Main Road,8777.0995,Jul-Sep,2025,Rachenahalli Main Road,Moderate
147,Rachenahalli Main Road,6101.37,Oct-Dec,2025,Rachenahalli Main Road,Moderate
148,Rachenahalli Main Road,6191.2,Jan-Mar,2026,Rachenahalli Main Road,Moderate
149,Rachenahalli Main Road,6291.62,Apr-Jun,2026,Rachenahalli Main Road,Moderate
150,Rachenahalli Main Road,6302.92,Jul-Sep,2026,Rachenahalli Main Road,Moderate
151,Rachenahalli Main Road,6517.91,Oct-Dec,2026,Rachenahalli Main Road,Moderate
152,Rachenahalli Main Road,6835.8,Jan-Mar,2027,Rachenahalli Main Road,Moderate
153,Rachenahalli Main Road,6932.57,Apr-Jun,2027,Rachenahalli Main Road,Moderate
154,Rachenahalli Main Road,7175.86,Jul-Sep,2027,Rachenahalli Main Road,Moderate
155,Rachenahalli Main Road,7336.92,Oct-Dec,2027,Rachenahalli Main Road,Moderate
156,Rachenahalli Main Road,8061.23,Jan-Mar,2028,Rachenahalli Main Road,Moderate
157,Rachenahalli Main Road,8139.626667,Apr-Jun,2028,Rachenahalli Main Road,Moderate
158,Rachenahalli Main Road,8339.81,Jul-Sep,2028,Rachenahalli Main Road,Moderate
159,Rachenahalli Main Road,8365.14,Oct-Dec,2028,Rachenahalli Main Road,Moderate
160,Rachenahalli Main Road,8730.59,Jan-Mar,2029,Rachenahalli Main Road,Moderate
161,Rachenahalli Main Road,8739.14,Apr-Jun,2029,Rachenahalli Main Road,Moderate
162,Rachenahalli Main Road,9370.28,Jul-Sep,2029,Rachenahalli Main Road,Moderate
163,Rachenahalli Main Road,9328.11,Oct-Dec,2029,Rachenahalli Main Road,Moderate
164,Rachenahalli Main Road,10392.31667,Jan-Mar,2030,Rachenahalli Main Road,Moderate
165,Rachenahalli Main Road,10389.71667,Apr-Jun,2030,Rachenahalli Main Road,Moderate
166,Rachenahalli Main Road,10417.14333,Jul-Sep,2030,Rachenahalli Main Road,Moderate
167,Rachenahalli Main Road,9899.89,Oct-Dec,2030,Rachenahalli Main Road,Moderate
168,Chandapura Anekal Road,4659.91,Jan-Mar,2024,Chandapura Anekal Road,High
169,Chandapura Anekal Road,4534.96,Apr-Jun,2024,Chandapura Anekal Road,High
170,Chandapura Anekal Road,4827.886,Jul-Sep,2024,Chandapura Anekal Road,High
171,Chandapura Anekal Road,5567.13,Oct-Dec,2024,Chandapura Anekal Road,High
172,Chandapura Anekal Road,4808.54,Jan-Mar,2025,Chandapura Anekal Road,High
173,Chandapura Anekal Road,4904.46,Apr-Jun,2025,Chandapura Anekal Road,High
174,Chandapura Anekal Road,4737.390833,Jul-Sep,2025,Chandapura Anekal Road,High
175,Chandapura Anekal Road,4398.201667,Oct-Dec,2025,Chandapura Anekal Road,High
176,Chandapura Anekal Road,4362.67,Jan-Mar,2026,Chandapura Anekal Road,High
177,Chandapura Anekal Road,4366.77,Apr-Jun,2026,Chandapura Anekal Road,High
178,Chandapura Anekal Road,4360.27,Jul-Sep,2026,Chandapura Anekal Road,High
179,Chandapura Anekal Road,4394.3,Oct-Dec,2026,Chandapura Anekal Road,High
180,Chandapura Anekal Road,4389.45,Jan-Mar,2027,Chandapura Anekal Road,High
181,Chandapura Anekal Road,4394.52,Apr-Jun,2027,Chandapura Anekal Road,High
182,Chandapura Anekal Road,4401.97,Jul-Sep,2027,Chandapura Anekal Road,High
183,Chandapura Anekal Road,4430.71,Oct-Dec,2027,Chandapura Anekal Road,High
184,Chandapura Anekal Road,4444.53,Jan-Mar,2028,Chandapura Anekal Road,High
185,Chandapura Anekal Road,4565.3,Apr-Jun,2028,Chandapura Anekal Road,High
186,Chandapura Anekal Road,4554.35,Jul-Sep,2028,Chandapura Anekal Road,High
187,Chandapura Anekal Road,4603.93,Oct-Dec,2028,Chandapura Anekal Road,High
188,Chandapura Anekal Road,4581.21,Jan-Mar,2029,Chandapura Anekal Road,High
189,Chandapura Anekal Road,4584.1,Apr-Jun,2029,Chandapura Anekal Road,High
190,Chandapura Anekal Road,4569.92,Jul-Sep,2029,Chandapura Anekal Road,High
191,Chandapura Anekal Road,4745.72,Oct-Dec,2029,Chandapura Anekal Road,High
192,Chandapura Anekal Road,4659.91,Jan-Mar,2030,Chandapura Anekal Road,High
193,Chandapura Anekal Road,4534.96,Apr-Jun,2030,Chandapura Anekal Road,High
194,Chandapura Anekal Road,4827.886,Jul-Sep,2030,Chandapura Anekal Road,High
195,Chandapura Anekal Road,5567.13,Oct-Dec,2030,Chandapura Anekal Road,High
196,Thanisandra Main Road,8069.1475,Jan-Mar,2024,Thanisandra Main Road,Low
197,Thanisandra Main Road,8735.6075,Apr-Jun,2024,Thanisandra Main Road,Low
198,Thanisandra Main Road,9315.3725,Jul-Sep,2024,Thanisandra Main Road,Low
199,Thanisandra Main Road,9586.22,Oct-Dec,2024,Thanisandra Main Road,Low
200,Thanisandra Main Road,10446.7675,Jan-Mar,2025,Thanisandra Main Road,Low
201,Thanisandra Main Road,10694.88167,Apr-Jun,2025,Thanisandra Main Road,Low
202,Thanisandra Main Road,8408.182167,Jul-Sep,2025,Thanisandra Main Road,Low
203,Thanisandra Main Road,7426.263,Oct-Dec,2025,Thanisandra Main Road,Low
204,Thanisandra Main Road,5721.84,Jan-Mar,2026,Thanisandra Main Road,Low
205,Thanisandra Main Road,5749.6,Apr-Jun,2026,Thanisandra Main Road,Low
206,Thanisandra Main Road,5885.86,Jul-Sep,2026,Thanisandra Main Road,Low
207,Thanisandra Main Road,5881.3,Oct-Dec,2026,Thanisandra Main Road,Low
208,Thanisandra Main Road,5873.5,Jan-Mar,2027,Thanisandra Main Road,Low
209,Thanisandra Main Road,5966.96,Apr-Jun,2027,Thanisandra Main Road,Low
210,Thanisandra Main Road,6121.57,Jul-Sep,2027,Thanisandra Main Road,Low
211,Thanisandra Main Road,6131.22,Oct-Dec,2027,Thanisandra Main Road,Low
212,Thanisandra Main Road,7372.88,Jan-Mar,2028,Thanisandra Main Road,Low
213,Thanisandra Main Road,6701.27,Apr-Jun,2028,Thanisandra Main Road,Low
214,Thanisandra Main Road,6877.86,Jul-Sep,2028,Thanisandra Main Road,Low
215,Thanisandra Main Road,6807.97,Oct-Dec,2028,Thanisandra Main Road,Low
216,Thanisandra Main Road,6841.08,Jan-Mar,2029,Thanisandra Main Road,Low
217,Thanisandra Main Road,6874.8,Apr-Jun,2029,Thanisandra Main Road,Low
218,Thanisandra Main Road,7141.3,Jul-Sep,2029,Thanisandra Main Road,Low
219,Thanisandra Main Road,8555.09,Oct-Dec,2029,Thanisandra Main Road,Low
220,Thanisandra Main Road,8069.1475,Jan-Mar,2030,Thanisandra Main Road,Low
221,Thanisandra Main Road,8735.6075,Apr-Jun,2030,Thanisandra Main Road,Low
222,Thanisandra Main Road,9315.3725,Jul-Sep,2030,Thanisandra Main Road,Low
223,Thanisandra Main Road,9586.22,Oct-Dec,2030,Thanisandra Main Road,Low
224,Chandapura,4705.86,Jan-Mar,2024,Chandapura,High
225,Chandapura,4517.58,Apr-Jun,2024,Chandapura,High
226,Chandapura,4956.97,Jul-Sep,2024,Chandapura,High
227,Chandapura,6443.49,Oct-Dec,2024,Chandapura,High
228,Chandapura,4946.02,Jan-Mar,2025,Chandapura,High
229,Chandapura,4972.95,Apr-Jun,2025,Chandapura,High
230,Chandapura,4618.197238,Jul-Sep,2025,Chandapura,High
231,Chandapura,4567.832,Oct-Dec,2025,Chandapura,High
232,Chandapura,4209.13,Jan-Mar,2026,Chandapura,High
233,Chandapura,4273.99,Apr-Jun,2026,Chandapura,High
234,Chandapura,4225.72,Jul-Sep,2026,Chandapura,High
235,Chandapura,4232.16,Oct-Dec,2026,Chandapura,High
236,Chandapura,4191.38,Jan-Mar,2027,Chandapura,High
237,Chandapura,4154.84,Apr-Jun,2027,Chandapura,High
238,Chandapura,4196.09,Jul-Sep,2027,Chandapura,High
239,Chandapura,4142.47,Oct-Dec,2027,Chandapura,High
240,Chandapura,4280.07,Jan-Mar,2028,Chandapura,High
241,Chandapura,4383.86,Apr-Jun,2028,Chandapura,High
242,Chandapura,4460.05,Jul-Sep,2028,Chandapura,High
243,Chandapura,4297.27,Oct-Dec,2028,Chandapura,High
244,Chandapura,4345.55,Jan-Mar,2029,Chandapura,High
245,Chandapura,4441.92,Apr-Jun,2029,Chandapura,High
246,Chandapura,4560.91,Jul-Sep,2029,Chandapura,High
247,Chandapura,4488.44,Oct-Dec,2029,Chandapura,High
248,Chandapura,4705.86,Jan-Mar,2030,Chandapura,High
249,Chandapura,4517.58,Apr-Jun,2030,Chandapura,High
250,Chandapura,4956.97,Jul-Sep,2030,Chandapura,High
251,Chandapura,6443.49,Oct-Dec,2030,Chandapura,High
252,Jayanagar,11306.415,Jan-Mar,2024,Jayanagar,Low
253,Jayanagar,11609.80667,Apr-Jun,2024,Jayanagar,Low
254,Jayanagar,11416.98017,Jul-Sep,2024,Jayanagar,Low
255,Jayanagar,7819.312667,Oct-Dec,2024,Jayanagar,Low
256,Jayanagar,12385.18667,Jan-Mar,2025,Jayanagar,Low
257,Jayanagar,12601.47667,Apr-Jun,2025,Jayanagar,Low
258,Jayanagar,11359.85142,Jul-Sep,2025,Jayanagar,Low
259,Jayanagar,8107.796667,Oct-Dec,2025,Jayanagar,Low
260,Jayanagar,10302.57,Jan-Mar,2026,Jayanagar,Low
261,Jayanagar,10285.385,Apr-Jun,2026,Jayanagar,Low
262,Jayanagar,10356.63,Jul-Sep,2026,Jayanagar,Low
263,Jayanagar,10217.66,Oct-Dec,2026,Jayanagar,Low
264,Jayanagar,10492.05,Jan-Mar,2027,Jayanagar,Low
265,Jayanagar,10444.95,Apr-Jun,2027,Jayanagar,Low
266,Jayanagar,10571.61,Jul-Sep,2027,Jayanagar,Low
267,Jayanagar,10451.64,Oct-Dec,2027,Jayanagar,Low
268,Jayanagar,8952.96,Jan-Mar,2028,Jayanagar,Low
269,Jayanagar,9779.73,Apr-Jun,2028,Jayanagar,Low
270,Jayanagar,10029.67,Jul-Sep,2028,Jayanagar,Low
271,Jayanagar,10202.63,Oct-Dec,2028,Jayanagar,Low
272,Jayanagar,10415.46667,Jan-Mar,2029,Jayanagar,Low
273,Jayanagar,10442.93267,Apr-Jun,2029,Jayanagar,Low
274,Jayanagar,10907.1775,Jul-Sep,2029,Jayanagar,Low
275,Jayanagar,11266.5,Oct-Dec,2029,Jayanagar,Low
276,Jayanagar,11306.415,Jan-Mar,2030,Jayanagar,Low
277,Jayanagar,11609.80667,Apr-Jun,2030,Jayanagar,Low
278,Jayanagar,11416.98017,Jul-Sep,2030,Jayanagar,Low
279,Jayanagar,7819.312667,Oct-Dec,2030,Jayanagar,Low
280,Rachenahalli,7275.32,Jan-Mar,2024,Rachenahalli,Moderate
281,Rachenahalli,7142.12,Apr-Jun,2024,Rachenahalli,Moderate
282,Rachenahalli,6831.590667,Jul-Sep,2024,Rachenahalli,Moderate
283,Rachenahalli,7237.84,Oct-Dec,2024,Rachenahalli,Moderate
284,Rachenahalli,8731.487571,Jan-Mar,2025,Rachenahalli,Moderate
285,Rachenahalli,9126.375905,Apr-Jun,2025,Rachenahalli,Moderate
286,Rachenahalli,6638.908698,Jul-Sep,2025,Rachenahalli,Moderate
287,Rachenahalli,4656.905833,Oct-Dec,2025,Rachenahalli,Moderate
288,Rachenahalli,4518.312,Jan-Mar,2026,Rachenahalli,Moderate
289,Rachenahalli,5364.247,Apr-Jun,2026,Rachenahalli,Moderate
290,Rachenahalli,5080.958,Jul-Sep,2026,Rachenahalli,Moderate
291,Rachenahalli,4766.435667,Oct-Dec,2026,Rachenahalli,Moderate
292,Rachenahalli,5463.051667,Jan-Mar,2027,Rachenahalli,Moderate
293,Rachenahalli,5336.603667,Apr-Jun,2027,Rachenahalli,Moderate
294,Rachenahalli,5388.4475,Jul-Sep,2027,Rachenahalli,Moderate
295,Rachenahalli,5436.3125,Oct-Dec,2027,Rachenahalli,Moderate
296,Rachenahalli,5974.181667,Jan-Mar,2028,Rachenahalli,Moderate
297,Rachenahalli,5772.542,Apr-Jun,2028,Rachenahalli,Moderate
298,Rachenahalli,5800.023667,Jul-Sep,2028,Rachenahalli,Moderate
299,Rachenahalli,6212.282,Oct-Dec,2028,Rachenahalli,Moderate
300,Rachenahalli,6148.256333,Jan-Mar,2029,Rachenahalli,Moderate
301,Rachenahalli,6200.268667,Apr-Jun,2029,Rachenahalli,Moderate
302,Rachenahalli,6466.106667,Jul-Sep,2029,Rachenahalli,Moderate
303,Rachenahalli,6834.19,Oct-Dec,2029,Rachenahalli,Moderate
304,Rachenahalli,7275.32,Jan-Mar,2030,Rachenahalli,Moderate
305,Rachenahalli,7142.12,Apr-Jun,2030,Rachenahalli,Moderate
306,Rachenahalli,6831.590667,Jul-Sep,2030,Rachenahalli,Moderate
307,Rachenahalli,7237.84,Oct-Dec,2030,Rachenahalli,Moderate
308,JCR Layout,7598.27,Jan-Mar,2024,JCR Layout,Low
309,JCR Layout,7933.1,Apr-Jun,2024,JCR Layout,Low
310,JCR Layout,8502.01,Jul-Sep,2024,JCR Layout,Low
311,JCR Layout,8932.05,Oct-Dec,2024,JCR Layout,Low
312,JCR Layout,9063.35,Jan-Mar,2025,JCR Layout,Low
313,JCR Layout,9271.77,Apr-Jun,2025,JCR Layout,Low
314,JCR Layout,7812.672619,Jul-Sep,2025,JCR Layout,Low
315,JCR Layout,7382.553333,Oct-Dec,2025,JCR Layout,Low
316,JCR Layout,7722.19,Jan-Mar,2026,JCR Layout,Low
317,JCR Layout,7696.11,Apr-Jun,2026,JCR Layout,Low
318,JCR Layout,7699.55,Jul-Sep,2026,JCR Layout,Low
319,JCR Layout,7714.18,Oct-Dec,2026,JCR Layout,Low
320,JCR Layout,7773.3,Jan-Mar,2027,JCR Layout,Low
321,JCR Layout,7780.42,Apr-Jun,2027,JCR Layout,Low
322,JCR Layout,7776.28,Jul-Sep,2027,JCR Layout,Low
323,JCR Layout,7776.39,Oct-Dec,2027,JCR Layout,Low
324,JCR Layout,8300.84,Jan-Mar,2028,JCR Layout,Low
325,JCR Layout,8260.54,Apr-Jun,2028,JCR Layout,Low
326,JCR Layout,7805.35,Jul-Sep,2028,JCR Layout,Low
327,JCR Layout,7940.16,Oct-Dec,2028,JCR Layout,Low
328,JCR Layout,8017.7,Jan-Mar,2029,JCR Layout,Low
329,JCR Layout,8107.84,Apr-Jun,2029,JCR Layout,Low
330,JCR Layout,8227.06,Jul-Sep,2029,JCR Layout,Low
331,JCR Layout,8522.96,Oct-Dec,2029,JCR Layout,Low
332,JCR Layout,7598.27,Jan-Mar,2030,JCR Layout,Low
333,JCR Layout,7933.1,Apr-Jun,2030,JCR Layout,Low
334,JCR Layout,8502.01,Jul-Sep,2030,JCR Layout,Low
335,JCR Layout,8932.05,Oct-Dec,2030,JCR Layout,Low
336,Carmelaram,9987.83,Jan-Mar,2024,Carmelaram,Moderate
337,Carmelaram,9720.83,Apr-Jun,2024,Carmelaram,Moderate
338,Carmelaram,9269.48,Jul-Sep,2024,Carmelaram,Moderate
339,Carmelaram,8292.82,Oct-Dec,2024,Carmelaram,Moderate
340,Carmelaram,9924.79,Jan-Mar,2025,Carmelaram,Moderate
341,Carmelaram,10232.78,Apr-Jun,2025,Carmelaram,Moderate
342,Carmelaram,8265.436667,Jul-Sep,2025,Carmelaram,Moderate
343,Carmelaram,7231.7,Oct-Dec,2025,Carmelaram,Moderate
344,Carmelaram,6795.35,Jan-Mar,2026,Carmelaram,Moderate
345,Carmelaram,6765.69,Apr-Jun,2026,Carmelaram,Moderate
346,Carmelaram,6738.72,Jul-Sep,2026,Carmelaram,Moderate
347,Carmelaram,6771.67,Oct-Dec,2026,Carmelaram,Moderate
348,Carmelaram,6764.38,Jan-Mar,2027,Carmelaram,Moderate
349,Carmelaram,6737.77,Apr-Jun,2027,Carmelaram,Moderate
350,Carmelaram,6740.73,Jul-Sep,2027,Carmelaram,Moderate
351,Carmelaram,6775.56,Oct-Dec,2027,Carmelaram,Moderate
352,Carmelaram,6999.91,Jan-Mar,2028,Carmelaram,Moderate
353,Carmelaram,7011.54,Apr-Jun,2028,Carmelaram,Moderate
354,Carmelaram,6924.01,Jul-Sep,2028,Carmelaram,Moderate
355,Carmelaram,6690.64,Oct-Dec,2028,Carmelaram,Moderate
356,Carmelaram,7016.54,Jan-Mar,2029,Carmelaram,Moderate
357,Carmelaram,7464.07,Apr-Jun,2029,Carmelaram,Moderate
358,Carmelaram,7421.73,Jul-Sep,2029,Carmelaram,Moderate
359,Carmelaram,7329.78,Oct-Dec,2029,Carmelaram,Moderate
